Order	Species	Scale	Deme	Nuc_Div	U_Haps	N_pairs	N_seqs	Medn_dt	N_dates	Mdn_dst	ag_post	ag_pre	built	tmax	tmin	vpdmax	precip	icide	Lon	Lat
Trichoptera	Rhyacophila carolina	1	8	0.005065856129686	1	3	3	2013	1	0	0.245353811707682	0.410004307883984	0.049527626681935	17.1895837783813	6.03166675567627	11.1737499237061	1189.31500244141	0.457885081953694	-75.7843	39.8596
Trichoptera	Rhyacophila banksi	1	1	0.018837018837019	1	2	3	2013	2	0.479302892998897	0.02209959229835	0.046827407814226	0.038748564867968	16.9029169082642	3.53208339214325	11.9420833587646	992.809997558594	0.07073966947272	-79.88813333	38.07186667
Trichoptera	Rhyacophila banksi	1	3	0	0.5	1	2	2013	1	0	0.060695789045378	0.091919899137815	0.028898426323319	15.9729161262512	4.29458332061768	9.7441668510437	1239.125	0.121686820315715	-81.4017	37.1267
Trichoptera	Rhyacophila acutiloba	1	3	0.004750773428101	0.818181818181818	55	11	2013	1	0	0.029235442143295	0.077947383974782	0.037259959873889	17.7908325195312	4.41083335876465	10.7650003433228	1294.2099609375	1.39824531413209	-83.084	35.6339
Trichoptera	Rhyacophila accola	1	1	0.00259067357513	1	0	2	2014.5	2	0.536752313692411	0.042330211664134	0.125889711224874	0.054649499284692	15.3500003814697	5.08999991416931	8.03750014305115	1337.90002441406	0.954707349907848	-82.3957	35.698
Trichoptera	Nyctiophylax celta	1	3	0.001013171225937	0.666666666666667	3	3	2013	1	0	0.096681309870253	0.17592833532887	0.021197364651962	20.0675001144409	6.99416661262512	13.3891665935516	1490.31750488281	0.159979714869586	-83.9346	35.6059
Trichoptera	Neophylax aniqua	1	1	0.007371007371007	1	1	2	2014.5	2	0	0.024862115375491	0.047413962116059	0.033256880733945	12.9487495422363	1.11458331346512	8.97083330154419	1159.38000488281	0.11838635089671	-78.9497	41.6833
Trichoptera	Hydroptila grandiosa	1	3	0	0.2	10	5	2013	1	0	0.096681309870253	0.17592833532887	0	20.0541667938232	6.97916650772095	13.3308334350586	1506.09997558594	0.159979714869586	-83.9202	35.6224
Trichoptera	Hydroptila grandiosa	1	4	0.002981729983914	0.32258064516129	465	31	2013	2	0	0.096681309870253	0.17592833532887	0.021197364651962	20.0675001144409	6.99416661262512	13.3891665935516	1490.31750488281	0.159979714869586	-83.9346	35.6059
Trichoptera	Hydroptila grandiosa	1	5	0.00218818380744	1	1	2	2013	1	0	0.245353811707682	0.410004307883984	0.047031832520792	16.9727776845296	5.76861127217611	10.749444325765	1226.61002604167	0.457885081953694	-75.861	39.929
Trichoptera	Hydroptila grandiosa	1	6	0.005639097744361	1	1	2	2013	1	0	0.310973450833122	0.469021786846279	0.110410094637224	17.031665802002	5.90999984741211	11.7466669082642	1147.85998535156	0.404851182938201	-75.752	40.385
Trichoptera	Homoplectra flinti	1	2	0.001547987616099	1	1	2	2013	1	0	0.029235442143295	0.077947383974782	0.067451205510907	16.0925006866455	4.9225001335144	8.21500015258789	1480.64001464844	1.39824531413209	-83.0729	35.5861
Trichoptera	Ceraclea nepha	1	1	0.033434650455927	1	3	3	2013	2	0	0.246502346977041	0.177697203715401	0.049556001145803	20.1527080535889	8.53916645050049	13.7383334636688	1096.18252563477	0.477735802085514	-76.8617	38.1033
Trichoptera	Ceraclea diluta	1	2	0.001519756838906	1	1	2	2013	1	0	0.101353134278781	0.167761556226512	0.064275466284075	12.5661109288534	2.52944445610046	8.84861119588216	880.493326822917	1.59907645977131	-73.405	44.738
Trichoptera	Rhyacophila minora	1	2	0.00796178343949	1	1	2	2013	1	0	0.127456210627083	0.182900136927043	0.0438269836723	16.6891670227051	3.76125001907349	11.3895835876465	1138.69494628906	0.125818629128466	-79.3567	38.1217
Trichoptera	Rhyacophila minora	1	4	0	1	1	2	2013	1	0	0.081352911268969	0.110288398655347	0.045259238040676	17.1666660308838	4.86833333969116	11.4741668701172	1190.13000488281	0.337747339758961	-81.5033	36.7617
Trichoptera	Rhyacophila minora	1	6	0	1	1	2	2013	1	0	0.190942215712383	0.279582678999201	0.10106230261269	15.7770833969116	4.04999995231628	10.8825001716614	1280.0849609375	0.423265463544682	-76.017	40.584
Trichoptera	Dolophilodes major	1	2	0.002866672245948	1	6	4	2013	1	0	0.056318344469297	0.16376795419791	0.028358636493841	19.3520832061768	5.60541677474976	12.8970832824707	1463.52502441406	0.228603537397781	-83.4986	35.6859
Trichoptera	Dolophilodes major	1	3	0.001862197392924	1	1	2	2013	1	0	0.029235442143295	0.077947383974782	0.058166189111748	18.8866662979126	5.10999989509583	12.3141665458679	1340.36999511719	1.39824531413209	-83.1056	35.7597
Trichoptera	Dolophilodes major	1	6	0.001519756838906	1	1	2	2013	1	0	0.096681309870253	0.17592833532887	0.0335339638865	19.8138891855876	6.59499994913737	12.9630556106567	1466.10668945312	0.159979714869586	-83.6978	35.6529
Trichoptera	Dolophilodes major	1	7	0.000759878419453	0.5	6	4	2013	1	0.221951076464326	0.096681309870253	0.17592833532887	0.032979638657872	19.6866669654846	6.3383332490921	12.8520834445953	1485.40252685547	0.159979714869586	-83.694475	35.6443
Trichoptera	Platycentropus radiatus	1	9	0.000276319425256	0.181818181818182	55	11	2013	2	0.049389640596303	0.01927217056152	0.067959824574787	0.424233743912919	16.4570832252502	5.58333325386047	8.6875	2041.49249267578	0.689487057430544	-83.18855455	35.05390909
Trichoptera	Polycentropus carolinensis	1	4	0	0.5	15	6	2013	1	0	0.029235442143295	0.077947383974782	0.066780821917808	16.8441667556763	4.69208335876465	9.33208322525024	1377.5	1.39824531413209	-83.0583	35.5897
Trichoptera	Cheumatopsyche mickeli	1	1	0.005410914204689	0.909090909090909	55	11	2013	2	0	0.017973678861442	0.041625682825192	0.064414543372459	22.9902081489563	10.5743751525879	21.3952083587646	738.822494506836	11.3086296520732	-117.817	34.237
Trichoptera	Cheumatopsyche mickeli	1	2	0.00397184801242	1	6	4	2013	1	0	0.008258450594408	0.01638389011288	0.35214899713467	24.8274993896484	10.8449997901917	20.069167137146	362.084991455078	5.56809251775253	-117.083	33.064
Trichoptera	Lepidostoma pluviale	1	1	0	1	10	5	2013	2	0	0.017973678861442	0.041625682825192	0.087342497136312	20.4825000762939	8.98166656494141	19.0799999237061	819.510009765625	11.3086296520732	-117.84	34.292
Trichoptera	Lepidostoma pluviale	1	4	0.001519756838906	1	1	2	2013	1	0	0.031035064505457	0.016596888695588	0.049541809851088	11.046667098999	-2.42666673660278	11.4608335494995	680.710021972656	0.159091023493323	-113.954	45.7561
Trichoptera	Oecetis pechana	1	1	0	1	1	2	2014.5	2	0	0.019420071027782	0.045309835631294	0.128293241695304	25.5675010681152	11.9333333969116	22.3349990844727	451.239990234375	12.2660371322464	-117.865	33.952
Trichoptera	Limnephilus lithus	1	1	0.004739336492891	1	1	2	2014.5	2	0	0.051135499153492	0.031292114886039	0	13.7587497234344	-1.06999996304512	13.3262500762939	444.964996337891	0.303362941310012	-105.222	40.9415
Trichoptera	Limnephilus lithus	1	2	0.003039513677812	1	3	3	2013	1	0	0.001116783674799	0.000838132554812	0	14.9277083873749	-1.90458336472511	14.7166664600372	677.495010375977	1.74095478389036	-109.315	33.855
